W/L,Fighter,Method,Round,location,date
win,Stephen Thompson  Geoff Neal,U-DEC,5.0,"Las Vegas, Nevada, USA","December 19, 2020"
win,Jose Aldo  Marlon Vera,U-DEC,3.0,"Las Vegas, Nevada, USA","December 19, 2020"
win,Michel Pereira  Khaos Williams,U-DEC,3.0,"Las Vegas, Nevada, USA","December 19, 2020"
win,Rob Font  Marlon Moraes,KO/TKO  Punches,1.0,"Las Vegas, Nevada, USA","December 19, 2020"
win,Marcin Tybura  Greg Hardy,KO/TKO  Punches,2.0,"Las Vegas, Nevada, USA","December 19, 2020"
win,Anthony Pettis  Alex Morono,U-DEC,3.0,"Las Vegas, Nevada, USA","December 19, 2020"
win,Pannie Kianzad  Sijara Eubanks,U-DEC,3.0,"Las Vegas, Nevada, USA","December 19, 2020"
win,Deron Winn  Antonio Arroyo,U-DEC,3.0,"Las Vegas, Nevada, USA","December 19, 2020"
win,Taila Santos  Gillian Robertson,U-DEC,3.0,"Las Vegas, Nevada, USA","December 19, 2020"
win,Tafon Nchukwi  Jamie Pickett,U-DEC,3.0,"Las Vegas, Nevada, USA","December 19, 2020"
win,Jimmy Flick  Cody Durden,SUB  Triangle Choke,1.0,"Las Vegas, Nevada, USA","December 19, 2020"
win,Christos Giagos  Carlton Minus,U-DEC,3.0,"Las Vegas, Nevada, USA","December 19, 2020"
win,Marvin Vettori  Jack Hermansson,U-DEC,5.0,"Las Vegas, Nevada, USA","December 05, 2020"
win,Jamahal Hill  Ovince Saint Preux,KO/TKO  Punches,2.0,"Las Vegas, Nevada, USA","December 05, 2020"
win,Gabriel Benitez  Justin Jaynes,KO/TKO  Knee,1.0,"Las Vegas, Nevada, USA","December 05, 2020"
win,Roman Dolidze  John Allan,S-DEC,3.0,"Las Vegas, Nevada, USA","December 05, 2020"
win,Jordan Leavitt  Matt Wiman,KO/TKO  Slam,1.0,"Las Vegas, Nevada, USA","December 05, 2020"
win,Louis Smolka  Jose Quinonez,KO/TKO  Punches,2.0,"Las Vegas, Nevada, USA","December 05, 2020"
win,Ilia Topuria  Damon Jackson,KO/TKO  Punch,1.0,"Las Vegas, Nevada, USA","December 05, 2020"
win,Jake Collier  Gian Villante,U-DEC,3.0,"Las Vegas, Nevada, USA","December 05, 2020"
draw  draw,Deiveson Figueiredo  Brandon Moreno,M-DEC,5.0,"Las Vegas, Nevada, USA","December 12, 2020"
win,Charles Oliveira  Tony Ferguson,U-DEC,3.0,"Las Vegas, Nevada, USA","December 12, 2020"
win,Mackenzie Dern  Virna Jandiroba,U-DEC,3.0,"Las Vegas, Nevada, USA","December 12, 2020"
win,Kevin Holland  Jacare Souza,KO/TKO  Punch,1.0,"Las Vegas, Nevada, USA","December 12, 2020"
win,Ciryl Gane  Junior Dos Santos,KO/TKO  Elbow,2.0,"Las Vegas, Nevada, USA","December 12, 2020"
win,Cub Swanson  Daniel Pineda,KO/TKO  Punch,2.0,"Las Vegas, Nevada, USA","December 12, 2020"
win,Rafael Fiziev  Renato Moicano,KO/TKO  Punch,1.0,"Las Vegas, Nevada, USA","December 12, 2020"
win,Gavin Tucker  Billy Quarantillo,U-DEC,3.0,"Las Vegas, Nevada, USA","December 12, 2020"
win,Tecia Torres  Sam Hughes,KO/TKO,1.0,"Las Vegas, Nevada, USA","December 12, 2020"
win,Chase Hooper  Peter Barrett,SUB  Heel Hook,3.0,"Las Vegas, Nevada, USA","December 12, 2020"
win,Kamaru Usman  Gilbert Burns,KO/TKO  Punches,3.0,"Las Vegas, Nevada, USA","February 13, 2021"
win,Alexa Grasso  Maycee Barber,U-DEC,3.0,"Las Vegas, Nevada, USA","February 13, 2021"
win,Kelvin Gastelum  Ian Heinisch,U-DEC,3.0,"Las Vegas, Nevada, USA","February 13, 2021"
win,Ricky Simon  Brian Kelleher,U-DEC,3.0,"Las Vegas, Nevada, USA","February 13, 2021"
win,Julian Marquez  Maki Pitolo,SUB  Anaconda Choke,3.0,"Las Vegas, Nevada, USA","February 13, 2021"
win,Anthony Hernandez  Rodolfo Vieira,SUB  Guillotine Choke,2.0,"Las Vegas, Nevada, USA","February 13, 2021"
win,Belal Muhammad  Dhiego Lima,U-DEC,3.0,"Las Vegas, Nevada, USA","February 13, 2021"
win,Polyana Viana  Mallory Martin,SUB  Armbar,1.0,"Las Vegas, Nevada, USA","February 13, 2021"
win,Chris Gutierrez  Andre Ewell,U-DEC,3.0,"Las Vegas, Nevada, USA","February 13, 2021"
win,Gabe Green  Phil Rowe,U-DEC,3.0,"Las Vegas, Nevada, USA","February 13, 2021"
win,Derrick Lewis  Curtis Blaydes,KO/TKO  Punch,2.0,"Las Vegas, Nevada, USA","February 20, 2021"
win,Yana Kunitskaya  Ketlen Vieira,U-DEC,3.0,"Las Vegas, Nevada, USA","February 20, 2021"
win,Darrick Minner  Charles Rosa,U-DEC,3.0,"Las Vegas, Nevada, USA","February 20, 2021"
win,Chris Daukaus  Aleksei Oleinik,KO/TKO  Punches,1.0,"Las Vegas, Nevada, USA","February 20, 2021"
win,Phil Hawes  Nassourdine Imavov,M-DEC,3.0,"Las Vegas, Nevada, USA","February 20, 2021"
win,Tom Aspinall  Andrei Arlovski,SUB  Rear Naked Choke,2.0,"Las Vegas, Nevada, USA","February 20, 2021"
win,Jared Gordon  Danny Chavez,U-DEC,3.0,"Las Vegas, Nevada, USA","February 20, 2021"
win,John Castaneda  Eddie Wineland,KO/TKO  Punches,1.0,"Las Vegas, Nevada, USA","February 20, 2021"
win,Julian Erosa  Nate Landwehr,KO/TKO  Flying Knee,1.0,"Las Vegas, Nevada, USA","February 20, 2021"
win,Casey O'Neill  Shana Dobson,KO/TKO  Punches,2.0,"Las Vegas, Nevada, USA","February 20, 2021"
win,Aiemann Zahabi  Drako Rodriguez,KO/TKO  Punch,1.0,"Las Vegas, Nevada, USA","February 20, 2021"
win,Serghei Spivac  Jared Vanderaa,KO/TKO  Punches,2.0,"Las Vegas, Nevada, USA","February 20, 2021"
win,Max Holloway  Calvin Kattar,U-DEC,5.0,"Abu Dhabi, Abu Dhabi, United Arab Emirates","January 16, 2021"
win,Carlos Condit  Matt Brown,U-DEC,3.0,"Abu Dhabi, Abu Dhabi, United Arab Emirates","January 16, 2021"
win,Li Jingliang  Santiago Ponzinibbio,KO/TKO  Punch,1.0,"Abu Dhabi, Abu Dhabi, United Arab Emirates","January 16, 2021"
win,Alessio Di Chirico  Joaquin Buckley,KO/TKO  Kick,1.0,"Abu Dhabi, Abu Dhabi, United Arab Emirates","January 16, 2021"
win,Punahele Soriano  Dusko Todorovic,KO/TKO  Punch,1.0,"Abu Dhabi, Abu Dhabi, United Arab Emirates","January 16, 2021"
win,Joselyne Edwards  Wu Yanan,U-DEC,3.0,"Abu Dhabi, Abu Dhabi, United Arab Emirates","January 16, 2021"
win,Carlos Felipe  Justin Tafa,S-DEC,3.0,"Abu Dhabi, Abu Dhabi, United Arab Emirates","January 16, 2021"
win,Ramazan Emeev  David Zawada,S-DEC,3.0,"Abu Dhabi, Abu Dhabi, United Arab Emirates","January 16, 2021"
win,Vanessa Melo  Sarah Moras,U-DEC,3.0,"Abu Dhabi, Abu Dhabi, United Arab Emirates","January 16, 2021"
win,Austin Lingo  Jacob Kilburn,U-DEC,3.0,"Abu Dhabi, Abu Dhabi, United Arab Emirates","January 16, 2021"
win,Alexander Volkov  Alistair Overeem,KO/TKO  Punch,2.0,"Las Vegas, Nevada, USA","February 06, 2021"
win,Cory Sandhagen  Frankie Edgar,KO/TKO  Flying Knee,1.0,"Las Vegas, Nevada, USA","February 06, 2021"
win,Clay Guida  Michael Johnson,U-DEC,3.0,"Las Vegas, Nevada, USA","February 06, 2021"
win,Alexandre Pantoja  Manel Kape,U-DEC,3.0,"Las Vegas, Nevada, USA","February 06, 2021"
win,Beneil Dariush  Diego Ferreira,S-DEC,3.0,"Las Vegas, Nevada, USA","February 06, 2021"
win,Danilo Marques  Mike Rodriguez,SUB  Rear Naked Choke,2.0,"Las Vegas, Nevada, USA","February 06, 2021"
win,Devonte Smith  Justin Jaynes,KO/TKO,2.0,"Las Vegas, Nevada, USA","February 06, 2021"
win,Karol Rosa  Joselyne Edwards,U-DEC,3.0,"Las Vegas, Nevada, USA","February 06, 2021"
win,Lara Procopio  Molly McCann,U-DEC,3.0,"Las Vegas, Nevada, USA","February 06, 2021"
win,SeungWoo Choi  Youssef Zalal,U-DEC,3.0,"Las Vegas, Nevada, USA","February 06, 2021"
win,Timur Valiev  Martin Day,U-DEC,3.0,"Las Vegas, Nevada, USA","February 06, 2021"
win,Ode Osbourne  Jerome Rivera,KO/TKO  Punch,1.0,"Las Vegas, Nevada, USA","February 06, 2021"
nc  nc,Leon Edwards  Belal Muhammad,CNC,2.0,"Las Vegas, Nevada, USA","March 13, 2021"
win,Ryan Spann  Misha Cirkunov,KO/TKO  Punches,1.0,"Las Vegas, Nevada, USA","March 13, 2021"
win,Dan Ige  Gavin Tucker,KO/TKO  Punch,1.0,"Las Vegas, Nevada, USA","March 13, 2021"
win,Davey Grant  Jonathan Martinez,KO/TKO  Punch,2.0,"Las Vegas, Nevada, USA","March 13, 2021"
win,Matheus Nicolau  Manel Kape,S-DEC,3.0,"Las Vegas, Nevada, USA","March 13, 2021"
nc  nc,Eryk Anders  Darren Stewart,CNC,1.0,"Las Vegas, Nevada, USA","March 13, 2021"
win,Angela Hill  Ashley Yoder,U-DEC,3.0,"Las Vegas, Nevada, USA","March 13, 2021"
win,Charles Jourdain  Marcelo Rojo,KO/TKO  Punch,3.0,"Las Vegas, Nevada, USA","March 13, 2021"
win,Rani Yahya  Ray Rodriguez,SUB  Arm Triangle,2.0,"Las Vegas, Nevada, USA","March 13, 2021"
win,Nasrat Haqparast  Rafa Garcia,U-DEC,3.0,"Las Vegas, Nevada, USA","March 13, 2021"
win,JJ Aldrich  Cortney Casey,S-DEC,3.0,"Las Vegas, Nevada, USA","March 13, 2021"
win,Jinh Yu Frey  Gloria de Paula,U-DEC,3.0,"Las Vegas, Nevada, USA","March 13, 2021"
win,Matthew Semelsberger  Jason Witt,KO/TKO  Punch,1.0,"Las Vegas, Nevada, USA","March 13, 2021"
win,Dustin Poirier  Conor McGregor,KO/TKO  Punches,2.0,"Abu Dhabi, Abu Dhabi, United Arab Emirates","January 23, 2021"
win,Michael Chandler  Dan Hooker,KO/TKO  Punch,1.0,"Abu Dhabi, Abu Dhabi, United Arab Emirates","January 23, 2021"
win,Joanne Wood  Jessica Eye,U-DEC,3.0,"Abu Dhabi, Abu Dhabi, United Arab Emirates","January 23, 2021"
win,Makhmud Muradov  Andrew Sanchez,KO/TKO  Punches,3.0,"Abu Dhabi, Abu Dhabi, United Arab Emirates","January 23, 2021"
win,Marina Rodriguez  Amanda Ribas,KO/TKO  Punch,2.0,"Abu Dhabi, Abu Dhabi, United Arab Emirates","January 23, 2021"
win,Arman Tsarukyan  Matt Frevola,U-DEC,3.0,"Abu Dhabi, Abu Dhabi, United Arab Emirates","January 23, 2021"
win,Brad Tavares  Antonio Carlos Junior,U-DEC,3.0,"Abu Dhabi, Abu Dhabi, United Arab Emirates","January 23, 2021"
win,Julianna Pena  Sara McMann,SUB  Rear Naked Choke,3.0,"Abu Dhabi, Abu Dhabi, United Arab Emirates","January 23, 2021"
win,Marcin Prachnio  Khalil Rountree Jr.,U-DEC,3.0,"Abu Dhabi, Abu Dhabi, United Arab Emirates","January 23, 2021"
win,Movsar Evloev  Nik Lentz,S-DEC,3.0,"Abu Dhabi, Abu Dhabi, United Arab Emirates","January 23, 2021"
win,Amir Albazi  Zhalgas Zhumagulov,U-DEC,3.0,"Abu Dhabi, Abu Dhabi, United Arab Emirates","January 23, 2021"
win,Ciryl Gane  Jairzinho Rozenstruik,U-DEC,5.0,"Las Vegas, Nevada, USA","February 27, 2021"
win,Magomed Ankalaev  Nikita Krylov,U-DEC,3.0,"Las Vegas, Nevada, USA","February 27, 2021"
draw  draw,Montana De La Rosa  Mayra Bueno Silva,M-DEC,3.0,"Las Vegas, Nevada, USA","February 27, 2021"
win,Pedro Munhoz  Jimmie Rivera,U-DEC,3.0,"Las Vegas, Nevada, USA","February 27, 2021"
win,Alex Caceres  Kevin Croom,U-DEC,3.0,"Las Vegas, Nevada, USA","February 27, 2021"
win,Thiago Moises  Alexander Hernandez,U-DEC,3.0,"Las Vegas, Nevada, USA","February 27, 2021"
win,Alexis Davis  Sabina Mazo,U-DEC,3.0,"Las Vegas, Nevada, USA","February 27, 2021"
win,Ronnie Lawrence  Vince Cachero,KO/TKO  Punches,3.0,"Las Vegas, Nevada, USA","February 27, 2021"
win,Dustin Jacoby  Maxim Grishin,U-DEC,3.0,"Las Vegas, Nevada, USA","February 27, 2021"
win,Derek Brunson  Kevin Holland,U-DEC,5.0,"Las Vegas, Nevada, USA","March 20, 2021"
win,Max Griffin  Song Kenan,KO/TKO  Punch,1.0,"Las Vegas, Nevada, USA","March 20, 2021"
win,Montserrat Conejo  Cheyanne Vlismas,U-DEC,3.0,"Las Vegas, Nevada, USA","March 20, 2021"
win,Adrian Yanez  Gustavo Lopez,KO/TKO  Punch,3.0,"Las Vegas, Nevada, USA","March 20, 2021"
win,Tai Tuivasa  Harry Hunsucker,KO/TKO  Punches,1.0,"Las Vegas, Nevada, USA","March 20, 2021"
win,Macy Chiasson  Marion Reneau,U-DEC,3.0,"Las Vegas, Nevada, USA","March 20, 2021"
win,Grant Dawson  Leonardo Santos,KO/TKO  Punches,3.0,"Las Vegas, Nevada, USA","March 20, 2021"
win,Trevin Giles  Roman Dolidze,U-DEC,3.0,"Las Vegas, Nevada, USA","March 20, 2021"
win,Montel Jackson  Jesse Strader,KO/TKO  Punch,1.0,"Las Vegas, Nevada, USA","March 20, 2021"
win,Bruno Silva  JP Buys,KO/TKO  Punch,2.0,"Las Vegas, Nevada, USA","March 20, 2021"
win,Michael Chiesa  Neil Magny,U-DEC,5.0,"Abu Dhabi, Abu Dhabi, United Arab Emirates","January 20, 2021"
win,Warlley Alves  Mounir Lazzez,KO/TKO  Kick,1.0,"Abu Dhabi, Abu Dhabi, United Arab Emirates","January 20, 2021"
win,Ike Villanueva  Vinicius Moreira,KO/TKO  Punch,2.0,"Abu Dhabi, Abu Dhabi, United Arab Emirates","January 20, 2021"
win,Viviane Araujo  Roxanne Modafferi,U-DEC,3.0,"Abu Dhabi, Abu Dhabi, United Arab Emirates","January 20, 2021"
win,Matt Schnell  Tyson Nam,S-DEC,3.0,"Abu Dhabi, Abu Dhabi, United Arab Emirates","January 20, 2021"
win,Lerone Murphy  Douglas Silva de Andrade,U-DEC,3.0,"Abu Dhabi, Abu Dhabi, United Arab Emirates","January 20, 2021"
win,Omari Akhmedov  Tom Breese,SUB  Arm Triangle,2.0,"Abu Dhabi, Abu Dhabi, United Arab Emirates","January 20, 2021"
win,Ricky Simon  Gaetano Pirrello,SUB  Arm Triangle,2.0,"Abu Dhabi, Abu Dhabi, United Arab Emirates","January 20, 2021"
win,Sumudaerji  Zarrukh Adashev,U-DEC,3.0,"Abu Dhabi, Abu Dhabi, United Arab Emirates","January 20, 2021"
win,Dalcha Lungiambula  Markus Perez,U-DEC,3.0,"Abu Dhabi, Abu Dhabi, United Arab Emirates","January 20, 2021"
win,Francisco Figueiredo  Jerome Rivera,U-DEC,3.0,"Abu Dhabi, Abu Dhabi, United Arab Emirates","January 20, 2021"
win,Mike Davis  Mason Jones,U-DEC,3.0,"Abu Dhabi, Abu Dhabi, United Arab Emirates","January 20, 2021"
win,Umar Nurmagomedov  Sergey Morozov,SUB  Rear Naked Choke,2.0,"Abu Dhabi, Abu Dhabi, United Arab Emirates","January 20, 2021"
win,Manon Fiorot  Victoria Leonardo,KO/TKO  Punches,2.0,"Abu Dhabi, Abu Dhabi, United Arab Emirates","January 20, 2021"
win,Francis Ngannou  Stipe Miocic,KO/TKO  Punch,2.0,"Las Vegas, Nevada, USA","March 27, 2021"
win,Vicente Luque  Tyron Woodley,SUB  D'Arce Choke,1.0,"Las Vegas, Nevada, USA","March 27, 2021"
win,Sean O'Malley  Thomas Almeida,KO/TKO  Punch,3.0,"Las Vegas, Nevada, USA","March 27, 2021"
win,Miranda Maverick  Gillian Robertson,U-DEC,3.0,"Las Vegas, Nevada, USA","March 27, 2021"
win,Jamie Mullarkey  Khama Worthy,KO/TKO  Punch,1.0,"Las Vegas, Nevada, USA","March 27, 2021"
win,Alonzo Menifield  Fabio Cherant,SUB  Von Flue Choke,1.0,"Las Vegas, Nevada, USA","March 27, 2021"
win,Abubakar Nurmagomedov  Jared Gooden,U-DEC,3.0,"Las Vegas, Nevada, USA","March 27, 2021"
win,Michal Oleksiejczuk  Modestas Bukauskas,S-DEC,3.0,"Las Vegas, Nevada, USA","March 27, 2021"
win,Omar Morales  Shane Young,U-DEC,3.0,"Las Vegas, Nevada, USA","March 27, 2021"
win,Marc-Andre Barriault  Abu Azaitar,KO/TKO  Punches,3.0,"Las Vegas, Nevada, USA","March 27, 2021"
win,Marvin Vettori  Kevin Holland,U-DEC,5.0,"Las Vegas, Nevada, USA","April 10, 2021"
win,Arnold Allen  Sodiq Yusuff,U-DEC,3.0,"Las Vegas, Nevada, USA","April 10, 2021"
win,Julian Marquez  Sam Alvey,SUB  Rear Naked Choke,2.0,"Las Vegas, Nevada, USA","April 10, 2021"
win,Mackenzie Dern  Nina Nunes,SUB  Armbar,1.0,"Las Vegas, Nevada, USA","April 10, 2021"
win,Daniel Rodriguez  Mike Perry,U-DEC,3.0,"Las Vegas, Nevada, USA","April 10, 2021"
win,Joe Solecki  Jim Miller,U-DEC,3.0,"Las Vegas, Nevada, USA","April 10, 2021"
win,Mateusz Gamrot  Scott Holtzman,KO/TKO  Punches,2.0,"Las Vegas, Nevada, USA","April 10, 2021"
win,John Makdessi  Ignacio Bahamondes,S-DEC,3.0,"Las Vegas, Nevada, USA","April 10, 2021"
win,Jarjis Danho  Yorgan De Castro,KO/TKO  Punch,1.0,"Las Vegas, Nevada, USA","April 10, 2021"
win,Jack Shore  Hunter Azure,S-DEC,3.0,"Las Vegas, Nevada, USA","April 10, 2021"
win,Luis Saldana  Jordan Griffin,U-DEC,3.0,"Las Vegas, Nevada, USA","April 10, 2021"
win,Da-Un Jung  William Knight,U-DEC,3.0,"Las Vegas, Nevada, USA","April 10, 2021"
win,Impa Kasanganay  Sasha Palatnikov,SUB  Rear Naked Choke,2.0,"Las Vegas, Nevada, USA","April 10, 2021"
win,Royce Gracie  Patrick Smith,KO/TKO  Punches,1.0,"Denver, Colorado, USA","March 11, 1994"
win,Royce Gracie  Remco Pardoel,SUB  Gi Choke,1.0,"Denver, Colorado, USA","March 11, 1994"
win,Patrick Smith  Johnny Rhodes,SUB  Guillotine Choke,1.0,"Denver, Colorado, USA","March 11, 1994"
win,Royce Gracie  Jason DeLucia,SUB  Armbar,1.0,"Denver, Colorado, USA","March 11, 1994"
win,Remco Pardoel  Orlando Wiet,KO/TKO  Elbows,1.0,"Denver, Colorado, USA","March 11, 1994"
win,Johnny Rhodes  Fred Ettish,SUB  Bulldog Choke,1.0,"Denver, Colorado, USA","March 11, 1994"
win,Patrick Smith  Scott Morris,KO/TKO  Elbows,1.0,"Denver, Colorado, USA","March 11, 1994"
win,Royce Gracie  Minoki Ichihara,SUB  Armbar,1.0,"Denver, Colorado, USA","March 11, 1994"
win,Jason DeLucia  Scott Baker,SUB  Triangle Choke,1.0,"Denver, Colorado, USA","March 11, 1994"
win,Remco Pardoel  Alberta Cerra Leon,SUB  Ezekiel Choke,1.0,"Denver, Colorado, USA","March 11, 1994"
win,Orlando Wiet  Robert Lucarelli,KO/TKO,1.0,"Denver, Colorado, USA","March 11, 1994"
win,Frank Hamaker  Thaddeus Luster,SUB  Keylock,1.0,"Denver, Colorado, USA","March 11, 1994"
win,Johnny Rhodes  David Levicki,KO/TKO  Punches,1.0,"Denver, Colorado, USA","March 11, 1994"
win,Patrick Smith  Ray Wizard,SUB  Guillotine Choke,1.0,"Denver, Colorado, USA","March 11, 1994"
win,Scott Morris  Sean Daugherty,SUB  Guillotine Choke,1.0,"Denver, Colorado, USA","March 11, 1994"
win,Royce Gracie  Dan Severn,SUB  Triangle Choke,1.0,"Tulsa, Oklahoma, USA","December 16, 1994"
win,Dan Severn  Marcus Bossett,SUB  Arm Triangle,1.0,"Tulsa, Oklahoma, USA","December 16, 1994"
win,Royce Gracie  Keith Hackney,SUB  Armbar,1.0,"Tulsa, Oklahoma, USA","December 16, 1994"
win,Dan Severn  Anthony Macias,SUB  Rear Naked Choke,1.0,"Tulsa, Oklahoma, USA","December 16, 1994"
win,Steve Jennum  Melton Bowen,SUB  Armbar,1.0,"Tulsa, Oklahoma, USA","December 16, 1994"
win,Keith Hackney  Joe Son,SUB  Other - Choke,1.0,"Tulsa, Oklahoma, USA","December 16, 1994"
win,Royce Gracie  Ron van Clief,SUB  Rear Naked Choke,1.0,"Tulsa, Oklahoma, USA","December 16, 1994"
win,Guy Mezger  Jason Fairn,KO/TKO,1.0,"Tulsa, Oklahoma, USA","December 16, 1994"
win,Marcus Bossett  Eldo Xavier Dias,KO/TKO,1.0,"Tulsa, Oklahoma, USA","December 16, 1994"
win,Joe Charles  Kevin Rosier,SUB  Armbar,1.0,"Tulsa, Oklahoma, USA","December 16, 1994"
win,Steve Jennum  Harold Howard,KO/TKO  Punches,1.0,"Charlotte, North Carolina, USA","September 09, 1994"
win,Ken Shamrock  Felix Lee Mitchell,SUB  Rear Naked Choke,1.0,"Charlotte, North Carolina, USA","September 09, 1994"
win,Royce Gracie  Kimo Leopoldo,SUB  Armbar,1.0,"Charlotte, North Carolina, USA","September 09, 1994"
win,Harold Howard  Roland Payne,KO/TKO  Punches,1.0,"Charlotte, North Carolina, USA","September 09, 1994"
win,Ken Shamrock  Christophe Leninger,KO/TKO  Punches,1.0,"Charlotte, North Carolina, USA","September 09, 1994"
win,Keith Hackney  Emmanuel Yarborough,KO/TKO  Punches,1.0,"Charlotte, North Carolina, USA","September 09, 1994"
win,Dan Severn  Dave Beneteau,SUB  Keylock,1.0,"Charlotte, North Carolina, USA","April 07, 1995"
draw  draw,Ken Shamrock  Royce Gracie,Other,2.0,"Charlotte, North Carolina, USA","April 07, 1995"
win,Dan Severn  Oleg Taktarov,KO/TKO,1.0,"Charlotte, North Carolina, USA","April 07, 1995"
win,Dave Beneteau  Todd Medina,KO/TKO  Punches,1.0,"Charlotte, North Carolina, USA","April 07, 1995"
win,Dan Severn  Joe Charles,SUB  Rear Naked Choke,1.0,"Charlotte, North Carolina, USA","April 07, 1995"
win,Oleg Taktarov  Ernie Verdicia,SUB  Scarf Hold,1.0,"Charlotte, North Carolina, USA","April 07, 1995"
win,Todd Medina  Larry Cureton,SUB  Forearm Choke,1.0,"Charlotte, North Carolina, USA","April 07, 1995"
win,Jon Hess  Andy Anderson,KO/TKO  Knees,1.0,"Charlotte, North Carolina, USA","April 07, 1995"
win,Guy Mezger  John Dowdy,KO/TKO  Punches,1.0,"Charlotte, North Carolina, USA","April 07, 1995"
win,Dave Beneteau  Asbel Cancio,KO/TKO,1.0,"Charlotte, North Carolina, USA","April 07, 1995"
win,Jan Blachowicz  Israel Adesanya,U-DEC,5.0,"Las Vegas, Nevada, USA","March 06, 2021"
win,Amanda Nunes  Megan Anderson,SUB  Triangle Armbar,1.0,"Las Vegas, Nevada, USA","March 06, 2021"
win,Aljamain Sterling  Petr Yan,DQ,4.0,"Las Vegas, Nevada, USA","March 06, 2021"
win,Islam Makhachev  Drew Dober,SUB  Arm Triangle,3.0,"Las Vegas, Nevada, USA","March 06, 2021"
win,Aleksandar Rakic  Thiago Santos,U-DEC,3.0,"Las Vegas, Nevada, USA","March 06, 2021"
win,Dominick Cruz  Casey Kenney,S-DEC,3.0,"Las Vegas, Nevada, USA","March 06, 2021"
win,Kyler Phillips  Song Yadong,U-DEC,3.0,"Las Vegas, Nevada, USA","March 06, 2021"
win,Askar Askarov  Joseph Benavidez,U-DEC,3.0,"Las Vegas, Nevada, USA","March 06, 2021"
win,Kai Kara-France  Rogerio Bontorin,KO/TKO  Punch,1.0,"Las Vegas, Nevada, USA","March 06, 2021"
win,Tim Elliott  Jordan Espinosa,U-DEC,3.0,"Las Vegas, Nevada, USA","March 06, 2021"
win,Kennedy Nzechukwu  Carlos Ulberg,KO/TKO  Punch,2.0,"Las Vegas, Nevada, USA","March 06, 2021"
win,Sean Brady  Jake Matthews,SUB  Arm Triangle,3.0,"Las Vegas, Nevada, USA","March 06, 2021"
win,Amanda Lemos  Livinha Souza,KO/TKO  Punch,1.0,"Las Vegas, Nevada, USA","March 06, 2021"
win,Uros Medic  Aalon Cruz,KO/TKO  Punches,1.0,"Las Vegas, Nevada, USA","March 06, 2021"
win,Trevin Jones  Mario Bautista,KO/TKO  Punch,2.0,"Las Vegas, Nevada, USA","March 06, 2021"
win,Marco Ruas  Paul Varelans,KO/TKO  Kicks,1.0,"Buffalo, New York, USA","September 08, 1995"
draw  draw,Ken Shamrock  Oleg Taktarov,Other,2.0,"Buffalo, New York, USA","September 08, 1995"
win,Marco Ruas  Remco Pardoel,SUB  Other,1.0,"Buffalo, New York, USA","September 08, 1995"
win,Paul Varelans  Mark Hall,SUB  Keylock,1.0,"Buffalo, New York, USA","September 08, 1995"
win,Marco Ruas  Larry Cureton,SUB  Heel Hook,1.0,"Buffalo, New York, USA","September 08, 1995"
win,Remco Pardoel  Ryan Parker,SUB  Gi Choke,1.0,"Buffalo, New York, USA","September 08, 1995"
win,Mark Hall  Harold Howard,KO/TKO  Punches,1.0,"Buffalo, New York, USA","September 08, 1995"
win,Paul Varelans  Gerry Harris,KO/TKO  Elbows,1.0,"Buffalo, New York, USA","September 08, 1995"
win,Scott Bessac  David Hood,SUB  Guillotine Choke,1.0,"Buffalo, New York, USA","September 08, 1995"
win,Onassis Parungao  Francesco Maturi,KO/TKO,1.0,"Buffalo, New York, USA","September 08, 1995"
win,Joel Sutton  Geza Kalman,KO/TKO,1.0,"Buffalo, New York, USA","September 08, 1995"
win,Oleg Taktarov  David Abbott,SUB  Rear Naked Choke,1.0,"Casper, Wyoming, USA","July 14, 1995"
win,Ken Shamrock  Dan Severn,SUB  Guillotine Choke,1.0,"Casper, Wyoming, USA","July 14, 1995"
win,Oleg Taktarov  Anthony Macias,SUB  Guillotine Choke,1.0,"Casper, Wyoming, USA","July 14, 1995"
win,David Abbott  Paul Varelans,KO/TKO  Punches,1.0,"Casper, Wyoming, USA","July 14, 1995"
win,Oleg Taktarov  Dave Beneteau,SUB  Guillotine Choke,1.0,"Casper, Wyoming, USA","July 14, 1995"
win,Patrick Smith  Rudyard Moncayo,SUB  Rear Naked Choke,1.0,"Casper, Wyoming, USA","July 14, 1995"
win,Paul Varelans  Cal Worsham,KO/TKO  Elbow,1.0,"Casper, Wyoming, USA","July 14, 1995"
win,David Abbott  John Matua,KO/TKO  Punches,1.0,"Casper, Wyoming, USA","July 14, 1995"
win,Anthony Macias  He-Man Gipson,KO/TKO  Headbutts,1.0,"Casper, Wyoming, USA","July 14, 1995"
win,Joel Sutton  Jack McGlaughlin,KO/TKO  Punches,1.0,"Casper, Wyoming, USA","July 14, 1995"
win,Dan Severn  Oleg Taktarov,U-DEC,2.0,"Denver, Colorado, USA","December 16, 1995"
win,Oleg Taktarov  Marco Ruas,U-DEC,1.0,"Denver, Colorado, USA","December 16, 1995"
win,Dan Severn  David Abbott,U-DEC,1.0,"Denver, Colorado, USA","December 16, 1995"
win,Oleg Taktarov  Dave Beneteau,SUB  Ankle Lock,1.0,"Denver, Colorado, USA","December 16, 1995"
win,Marco Ruas  Keith Hackney,SUB  Rear Naked Choke,1.0,"Denver, Colorado, USA","December 16, 1995"
win,Dan Severn  Paul Varelans,SUB  Arm Triangle,1.0,"Denver, Colorado, USA","December 16, 1995"
